Country|Total_cases|Active_cases|Total_Deaths|Total_Recovered|Total_Tests|Death/million|Tests/million|New_Case|New_death|New_Recovered|Continent
Sweden |2,753,348 |809 |27,322 |2,725,217 |19,500,873 |2,674 |1,908,301 |-|-|+57 |Europe 
Hong Kong |2,930,929 |4,527 |14,640 |2,911,762 |76,127,725 |1,925 |10,011,143 |+1,355 |+54 |-|Asia 
Singapore |3,006,155 |2,450 |2,024 |3,001,681 |24,756,666 |341 |4,165,302 |-|-|+680 |Asia 
Denmark |3,183,756 |0 |8,814 |3,174,942 |129,333,107 |1,511 |22,165,247 |-|-|-|Europe 
Romania |3,527,050 |2,068 |68,894 |3,456,088 |28,660,306 |3,620 |1,505,954 |-|-|+1,772 |Europe 
South Africa |4,076,463 |61,362 |102,595 |3,912,506 |26,795,090 |1,689 |441,027 |-|-|-|Africa 
Philippines |4,140,383 |6,138 |66,864 |4,067,381 |36,102,746 |594 |320,888 |-|-|-|Asia 
Switzerland |4,451,785 |880 |14,452 |4,436,453 |23,833,472 |1,647 |2,716,487 |-|-|-|Europe 
Peru |4,572,667 |0 |222,161 |4,350,506 |39,010,194 |6,595 |1,158,115 |-|-|-|South America 
Czechia |4,758,548 |980 |43,508 |4,714,060 |57,799,463 |4,052 |5,383,312 |+34 |+1 |+71 |Europe 
Thailand |4,767,238 |40,035 |34,567 |4,692,636 |17,273,454 |493 |246,488 |-|-|-|Asia 
DPRK |4,772,813 |0 |74 |4,772,739 |-|3 |-|-|-|-|Asia 
Israel |4,841,772 |30,592 |12,707 |4,798,473 |41,373,364 |1,363 |4,436,346 |-|-|-|Asia 
Belgium |4,859,804 |2,883 |34,376 |4,822,545 |37,454,182 |2,946 |3,209,915 |-|-|+369 |Europe 
Canada |4,933,311 |16,002 |58,475 |4,858,834 |66,572,774 |1,523 |1,734,189 |-|-|-|North America 
Malaysia |5,275,667 |8,236 |37,347 |5,230,084 |68,580,916 |1,126 |2,066,869 |-|-|-|Asia 
Chile |5,369,761 |52,814 |64,497 |5,252,450 |50,382,097 |3,350 |2,617,225 |-|-|-|South America 
Ukraine |5,557,995 |0 |112,418 |5,445,577 |32,603,805 |2,603 |754,855 |-|-|-|Europe 
Portugal |5,642,449 |514 |28,103 |5,613,832 |46,139,518 |2,771 |4,549,993 |-|-|-|Europe 
Austria |6,081,287 |3,811 |22,542 |6,054,934 |211,273,524 |2,486 |23,302,116 |-|-|-|Europe 
Greece |6,101,379 |N/A |37,869 |N/A |102,228,365 |3,671 |9,909,078 |-|-|N/A |Europe 
Colombia |6,400,173 |44,821 |143,200 |6,212,152 |36,951,507 |2,780 |717,327 |-|-|-|South America 
Poland |6,660,339 |N/A |120,569 |N/A |39,278,569 |3,195 |1,040,774 |+114 |+3 |N/A |Europe 
Indonesia |6,828,838 |19,673 |162,061 |6,647,104 |114,158,919 |581 |408,975 |-|-|-|Asia 
Iran |7,626,527 |N/A |146,799 |N/A |57,320,267 |1,707 |666,338 |-|-|N/A |Asia 
Mexico |7,702,809 |467,986 |334,958 |6,899,865 |20,013,810 |2,546 |152,124 |-|-|-|North America 
Netherlands |8,634,822 |848 |22,992 |8,610,982 |25,984,435 |1,336 |1,509,718 |-|-|-|Europe 
Argentina |10,094,643 |0 |130,733 |9,963,910 |35,716,069 |2,841 |776,264 |-|-|-|South America 
Taiwan |10,241,523 |0 |19,005 |10,222,518 |30,742,304 |796 |1,286,903 |-|-|-|Asia 
Vietnam |11,625,195 |941,018 |43,206 |10,640,971 |85,826,548 |437 |867,342 |-|-|-|Asia 
Australia |11,821,214 |N/A |24,259 |N/A |81,916,639 |931 |3,142,326 |+1,324 |-|N/A |Australia/Oceania 
Spain |13,914,811 |30,634 |121,760 |13,762,417 |471,036,328 |2,606 |10,082,298 |-|-|-|Europe 
Turkey |17,232,066 |N/A |102,174 |N/A |162,743,369 |1,194 |1,902,052 |-|-|N/A |Asia 
Russia |23,983,769 |183,731 |402,329 |23,397,709 |273,400,000 |2,759 |1,875,095 |-|-|-|Europe 
UK |24,902,971 |9,058 |232,112 |24,661,801 |522,526,476 |3,389 |7,628,357 |-|-|-|Europe 
Italy |26,718,411 |171,207 |196,309 |26,350,895 |280,384,928 |3,258 |4,652,706 |-|-|-|Europe 
Japan |33,803,572 |N/A |74,694 |N/A |100,414,883 |595 |799,578 |-|-|N/A |Asia 
S Korea |34,571,873 |0 |35,934 |34,535,939 |15,804,065 |700 |307,892 |-|-|-|Asia 
Brazil |38,452,504 |1,493,380 |709,963 |36,249,161 |63,776,166 |3,297 |296,146 |-|-|-|South America 
Germany |38,821,636 |398,435 |182,601 |38,240,600 |122,332,384 |2,177 |1,458,359 |+218 |+14 |-|Europe 
France |40,138,560 |0 |167,642 |39,970,918 |271,490,188 |2,556 |4,139,547 |-|-|-|Europe 
India |45,029,648 |N/A |533,489 |N/A |935,879,495 |379 |665,334 |+193 |+4 |N/A |Asia 
USA |111,535,172 |1,055,676 |1,216,285 |109,263,211 |1,186,765,074 |3,633 |3,544,643 |+4,556 |+19 |+22,075 |North America 
China |503,302 |118,977 |5,272 |379,053 |160,000,000 |4 |110,461 |-|-|-|Asia 
World |703,846,414 |22,221,360 |7,003,377 |674,621,677 |-|898 5 |-|+7,904 |+96 |+25,793 |All 
